iter	Passed	Remaining
480	2800	3021
481	2804	3014
482	2809	3007
483	2814	3000
484	2818	2993
485	2823	2985
486	2828	2979
487	2833	2972
488	2837	2965
489	2843	2959
490	2847	2952
491	2852	2945
492	2857	2938
493	2870	2940
494	2876	2934
495	2881	2928
496	2886	2921
497	2891	2915
498	2897	2908
499	2903	2903
500	2910	2899
501	2915	2892
502	2921	2886
503	2927	2880
504	2931	2873
505	2939	2869
506	2944	2863
507	2949	2856
508	2955	2851
509	2960	2844
510	2965	2838
511	2972	2833
512	2988	2837
513	3005	2841
514	3021	2845
515	3038	2850
516	3054	2853
517	3063	2850
518	3072	2847
519	3078	2841
520	3084	2835
521	3089	2829
522	3094	2822
523	3099	2815
524	3104	2808
525	3109	2801
526	3115	2796
527	3121	2790
528	3127	2784
529	3133	2778
530	3140	2773
531	3146	2767
532	3152	2761
533	3156	2754
534	3164	2750
535	3169	2744
536	3174	2737
537	3180	2731
538	3185	2724
539	3190	2717
540	3196	2711
541	3200	2704
542	3206	2698
543	3211	2691
544	3216	2684
545	3220	2678
546	3226	2672
547	3233	2666
548	3238	2660
549	3246	2655
550	3252	2650
551	3259	2645
552	3266	2640
553	3275	2636
554	3282	2631
555	3293	2629
556	3299	2623
557	3308	2620
558	3314	2614
559	3320	2608
560	3325	2602
561	3331	2596
562	3338	2591
563	3346	2586
564	3353	2582
565	3362	2578
566	3369	2573
567	3376	2567
568	3381	2561
569	3388	2556
570	3393	2549
571	3398	2543
572	3406	2538
573	3413	2533
574	3421	2529
575	3428	2524
576	3436	2519
577	3442	2513
578	3447	2506
579	3453	2500
580	3459	2494
581	3464	2488
582	3472	2483
583	3478	2477
584	3489	2475
585	3500	2472
586	3507	2467
587	3517	2464
588	3525	2459
589	3532	2454
590	3537	2448
591	3544	2443
592	3555	2440
593	3564	2436
594	3573	2432
595	3584	2429
596	3591	2424
597	3600	2420
598	3606	2414
599	3613	2408
600	3630	2410
601	3635	2403
602	3642	2398
603	3650	2393
604	3662	2391
605	3670	2386
606	3679	2382
607	3685	2376
608	3693	2371
609	3702	2367
610	3712	2363
611	3718	2357
612	3728	2353
613	3734	2347
614	3741	2342
615	3758	2343
616	3764	2336
617	3770	2330
618	3777	2325
619	3785	2320
620	3792	2314
621	3799	2308
622	3807	2304
623	3814	2298
624	3822	2293
625	3829	2288
626	3837	2282
627	3843	2276
628	3851	2271
629	3858	2266
630	3865	2260
631	3874	2255
632	3881	2250
633	3887	2244
634	3893	2237
635	3899	2232
636	3905	2225
637	3911	2219
638	3919	2214
639	3927	2209
640	3944	2208
641	3953	2204
642	3960	2199
643	3968	2193
644	3974	2187
645	3982	2182
646	3987	2175
647	3994	2169
648	4000	2163
649	4005	2156
650	4016	2153
651	4023	2147
652	4031	2142
653	4039	2137
654	4046	2131
655	4052	2125
656	4060	2119
657	4066	2113
658	4074	2108
659	4081	2102
660	4090	2097
661	4098	2092
662	4107	2088
663	4114	2082
664	4122	2076
665	4130	2071
666	4136	2065
667	4143	2059
668	4150	2053
669	4160	2049
670	4167	2043
671	4175	2037
672	4184	2033
673	4194	2028
674	4200	2022
675	4217	2021
676	4239	2022
677	4259	2022
678	4285	2025
679	4344	2044
680	4353	2039
681	4360	2033
682	4366	2026
683	4374	2020
684	4380	2014
685	4411	2019
686	4418	2013
687	4425	2006
688	4431	2000
689	4438	1994
690	4444	1987
691	4454	1982
692	4461	1976
693	4473	1972
694	4484	1967
695	4490	1961
696	4500	1956
697	4506	1949
698	4512	1943
699	4520	1937
700	4525	1930
701	4536	1925
702	4542	1919
703	4552	1914
704	4558	1907
705	4568	1902
706	4579	1897
707	4586	1891
708	4595	1886
709	4603	1880
710	4611	1874
711	4617	1867
712	4623	1861
713	4630	1854
714	4637	1848
715	4649	1844
716	4655	1837
717	4662	1831
718	4669	1825
719	4678	1819
720	4684	1812
721	4693	1807
722	4700	1800
723	4709	1795
724	4717	1789
725	4726	1783
726	4734	1777
727	4743	1772
728	4749	1765
729	4758	1760
730	4765	1753
731	4775	1748
732	4782	1742
733	4793	1737
734	4799	1730
735	4807	1724
736	4813	1717
737	4821	1711
738	4828	1705
739	4835	1699
740	4843	1692
741	4851	1686
742	4860	1681
743	4868	1675
744	4874	1668
745	4881	1662
746	4890	1656
747	4897	1649
748	4905	1643
749	4911	1637
750	4920	1631
751	4926	1624
752	4934	1618
753	4940	1611
754	4947	1605
755	4955	1599
756	4962	1592
757	4970	1586
758	4977	1580
759	4985	1574
760	4991	1567
761	4999	1561
762	5005	1554
763	5012	1548
764	5018	1541
765	5029	1536
766	5034	1529
767	5042	1523
768	5048	1516
769	5054	1509
770	5062	1503
771	5068	1497
772	5076	1490
773	5084	1484
774	5091	1478
775	5096	1471
776	5102	1464
777	5108	1457
778	5115	1451
779	5121	1444
780	5136	1440
781	5156	1437
782	5162	1430
783	5169	1424
784	5175	1417
785	5181	1410
786	5190	1404
787	5199	1398
788	5206	1392
789	5213	1385
790	5221	1379
791	5227	1372
792	5233	1366
793	5239	1359
794	5245	1352
795	5255	1346
796	5262	1340
797	5271	1334
798	5278	1327
799	5285	1321
800	5291	1314
801	5299	1308
802	5307	1302
803	5314	1295
804	5323	1289
805	5331	1283
806	5338	1276
807	5347	1270
808	5354	1264
809	5361	1257
810	5372	1252
811	5384	1246
812	5395	1240
813	5400	1234
814	5409	1227
815	5418	1221
816	5425	1215
817	5431	1208
818	5437	1201
819	5445	1195
820	5451	1188
821	5457	1181
822	5467	1175
823	5475	1169
824	5481	1162
825	5487	1155
826	5497	1150
827	5508	1144
828	5515	1137
829	5524	1131
830	5531	1124
831	5536	1118
832	5546	1111
833	5552	1105
834	5559	1098
835	5571	1092
836	5578	1086
837	5584	1079
838	5593	1073
839	5598	1066
840	5605	1059
841	5611	1053
842	5617	1046
843	5624	1039
844	5630	1032
845	5639	1026
846	5646	1019
847	5654	1013
848	5661	1006
849	5669	1000
850	5678	994
851	5686	987
852	5693	981
853	5700	974
854	5708	968
855	5714	961
856	5721	954
857	5726	947
858	5734	941
859	5743	934
860	5751	928
861	5759	922
862	5769	915
863	5780	909
864	5787	903
865	5794	896
866	5801	889
867	5808	883
868	5816	876
869	5822	869
870	5832	863
871	5839	857
872	5848	850
873	5853	843
874	5865	837
875	5871	831
876	5880	824
877	5886	817
878	5894	811
879	5902	804
880	5911	798
881	5918	791
882	5925	785
883	5932	778
884	5939	771
885	5950	765
886	5957	758
887	5968	752
888	5974	746
889	5983	739
890	5990	732
891	6001	726
892	6008	719
893	6018	713
894	6025	706
895	6033	700
896	6039	693
897	6046	686
898	6052	679
899	6062	673
900	6067	666
901	6075	660
902	6081	653
903	6088	646
904	6093	639
905	6098	632
906	6104	625
907	6110	619
908	6114	612
909	6120	605
910	6126	598
911	6131	591
912	6136	584
913	6140	577
914	6145	570
915	6150	564
916	6155	557
917	6159	550
918	6164	543
919	6170	536
920	6175	529
921	6180	522
922	6185	516
923	6190	509
924	6194	502
925	6199	495
926	6204	488
927	6208	481
928	6213	474
929	6218	468
930	6222	461
931	6226	454
932	6232	447
933	6236	440
934	6240	433
935	6246	427
936	6251	420
937	6258	413
938	6264	406
939	6272	400
940	6277	393
941	6285	387
942	6291	380
943	6297	373
944	6305	366
945	6310	360
946	6315	353
947	6320	346
948	6325	339
949	6330	333
950	6336	326
951	6342	319
952	6347	313
953	6352	306
954	6358	299
955	6364	292
956	6371	286
957	6376	279
958	6384	272
959	6389	266
960	6395	259
961	6401	252
962	6405	246
963	6410	239
964	6416	232
965	6420	225
966	6425	219
967	6430	212
968	6435	205
969	6439	199
970	6445	192
971	6449	185
972	6454	179
973	6458	172
974	6463	165
975	6468	159
976	6472	152
977	6478	145
978	6482	139
979	6487	132
980	6493	125
981	6497	119
982	6501	112
983	6507	105
984	6511	99
985	6516	92
986	6520	85
987	6525	79
988	6530	72
989	6537	66
990	6550	59
991	6560	52
992	6566	46
993	6573	39
994	6578	33
995	6583	26
996	6589	19
997	6594	13
998	6598	6
999	6603	0
