iter	RMSE
225	5.374125296
226	5.371994707
227	5.368943731
228	5.361328299
229	5.358509621
230	5.35388837
231	5.349330057
232	5.345835088
233	5.343438772
234	5.338881734
235	5.332803352
236	5.328235953
237	5.324348488
238	5.319982046
239	5.313539319
240	5.308192117
241	5.304930071
242	5.297249813
243	5.295334894
244	5.290414731
245	5.28517732
246	5.28111178
247	5.277473384
248	5.274517245
249	5.270056517
250	5.26745829
251	5.260717563
252	5.256206177
253	5.253217576
254	5.250101272
255	5.246622095
256	5.244324135
257	5.238105185
258	5.236561174
259	5.231418588
260	5.226530129
261	5.223041993
262	5.218454448
263	5.213171158
264	5.208043564
265	5.205625204
266	5.201201167
267	5.198910258
268	5.195562049
269	5.191898524
270	5.18934872
271	5.184096549
272	5.181835428
273	5.17649435
274	5.173380733
275	5.171656171
276	5.170328358
277	5.166079674
278	5.163645974
279	5.160717393
280	5.156912059
281	5.152774219
282	5.148733181
283	5.144400388
284	5.141038677
285	5.136446185
286	5.132706461
287	5.13137828
288	5.128674085
289	5.124473715
290	5.120740485
291	5.115698611
292	5.112189592
293	5.109265314
294	5.107209425
295	5.103425651
296	5.099805952
297	5.094701364
298	5.091263415
299	5.085816666
300	5.081591634
301	5.078892687
302	5.073242905
303	5.070571039
304	5.067966756
305	5.0651073
306	5.061845321
307	5.057003263
308	5.053171607
309	5.050203217
310	5.045500471
311	5.042642957
312	5.037314221
313	5.034051685
314	5.030004452
315	5.025297641
316	5.021512036
317	5.019956143
318	5.016878213
319	5.014317267
320	5.008330767
321	5.00535221
322	5.003265981
323	5.000401535
324	4.995364555
325	4.992760737
326	4.989279587
327	4.986546286
328	4.982914458
329	4.978280609
330	4.974686064
331	4.971114569
332	4.967566559
333	4.963364977
334	4.961294411
335	4.958406826
336	4.955694852
337	4.952522066
338	4.94912071
339	4.946953183
340	4.945722604
341	4.942238245
342	4.939304527
343	4.935048213
344	4.932329022
345	4.928497989
346	4.924554552
347	4.921169746
348	4.918275687
349	4.912796167
350	4.910526105
351	4.908380057
352	4.906062144
353	4.904009175
354	4.901474484
355	4.89656529
356	4.893295519
357	4.889777082
358	4.887345244
359	4.883615494
360	4.881239424
361	4.878433702
362	4.876623887
363	4.874240491
364	4.872984217
365	4.868623917
366	4.866582994
367	4.863201899
368	4.860354273
369	4.857597763
370	4.854964873
371	4.850890637
372	4.84780627
373	4.846550581
374	4.843833594
375	4.842008941
376	4.839516283
377	4.835548738
378	4.833179592
379	4.830211414
380	4.826727379
381	4.824073799
382	4.820273816
383	4.818792041
384	4.814813579
385	4.810526124
386	4.807826797
387	4.804381605
388	4.800584728
389	4.798409667
390	4.795837595
391	4.791638748
392	4.788414804
393	4.78421271
394	4.780248054
395	4.777360596
396	4.774449076
397	4.77190861
398	4.769996242
399	4.768173779
400	4.766320684
401	4.764329323
402	4.761922944
403	4.760291385
404	4.75908932
405	4.757576892
406	4.754747708
407	4.752467992
408	4.748751765
409	4.746112753
410	4.742594787
411	4.737565243
412	4.73493069
413	4.731956644
414	4.729008256
415	4.724406539
416	4.722728756
417	4.720292208
418	4.717801796
419	4.714897052
420	4.711872279
421	4.710074426
422	4.707947427
423	4.705511653
424	4.70397557
425	4.702517412
426	4.699686244
427	4.697963698
428	4.69605656
429	4.69178483
430	4.689481693
431	4.687064686
432	4.682423362
433	4.680542381
434	4.676661896
435	4.673391903
436	4.669720097
437	4.66715963
438	4.664336591
439	4.66120586
440	4.658427755
441	4.656038287
442	4.653932191
443	4.649056228
444	4.646297224
445	4.642225329
446	4.638379668
447	4.63397129
448	4.632321116
449	4.630776704
450	4.629298023
451	4.626257853
452	4.624464827
453	4.622994864
454	4.618679486
455	4.61650625
456	4.613658354
457	4.61199035
458	4.608919338
459	4.606452126
460	4.603640552
461	4.599856776
462	4.597570489
463	4.595226615
464	4.594389128
465	4.591424197
466	4.589285325
467	4.586527896
468	4.584448589
469	4.582318259
470	4.579658254
471	4.576336754
472	4.571955123
473	4.569695575
474	4.567302802
475	4.565972112
476	4.561806822
477	4.55873144
478	4.555858085
479	4.552647069
480	4.551989502
481	4.548537155
482	4.546835353
483	4.545277625
484	4.542854495
485	4.539647082
486	4.536532976
487	4.534412286
488	4.531747011
489	4.531146691
490	4.528693016
491	4.525598931
492	4.522916411
493	4.52082561
494	4.517427223
495	4.515325403
496	4.513142128
497	4.510883188
498	4.509181744
499	4.506680049
500	4.505395926
501	4.503599692
502	4.501349061
503	4.499228857
504	4.49567577
505	4.493045827
506	4.490040521
507	4.487462684
508	4.483873769
509	4.482855994
510	4.479664855
511	4.476747419
512	4.474752334
513	4.473185768
514	4.471417342
515	4.469071293
516	4.465655127
517	4.463402653
518	4.460168208
519	4.458307659
520	4.455813048
521	4.453098808
522	4.451019597
523	4.450364681
524	4.44914175
525	4.446297151
526	4.445226918
527	4.44210477
528	4.439209645
529	4.438162663
530	4.435660533
531	4.432801303
532	4.43136345
533	4.428385707
534	4.42545751
535	4.424292983
536	4.421797837
537	4.418158746
538	4.416067139
539	4.414606087
540	4.412085615
541	4.408195806
542	4.404336072
543	4.401427816
544	4.399197259
545	4.394398884
546	4.391285766
547	4.388299509
548	4.387427581
549	4.38476144
550	4.38180271
551	4.379597851
552	4.377347972
553	4.375762228
554	4.373453922
555	4.372386216
556	4.368967343
557	4.367932556
558	4.366218813
559	4.362961084
560	4.36190807
561	4.359499042
562	4.357282297
563	4.355765203
564	4.352634846
565	4.349100064
566	4.346178914
567	4.34380041
568	4.342599815
569	4.339847981
570	4.338240506
571	4.336349401
572	4.33438581
573	4.333009114
574	4.331526617
575	4.3297475
576	4.327901198
577	4.326063889
578	4.323920298
579	4.321675136
580	4.319668616
581	4.317690786
582	4.315332632
583	4.313232405
584	4.310716292
585	4.308830237
586	4.306625564
587	4.305010151
588	4.302999373
589	4.300984771
590	4.299286878
591	4.296971828
592	4.294787619
593	4.292710181
594	4.291438788
595	4.289466074
596	4.286498932
597	4.285029665
598	4.282145476
599	4.279972589
600	4.276561717
601	4.274063861
602	4.270948194
603	4.268666991
604	4.267108009
605	4.264902254
606	4.262508093
607	4.261025997
608	4.257811288
609	4.256969675
610	4.2553614
611	4.253641269
612	4.251696072
613	4.249996916
614	4.2493956
615	4.247798942
616	4.24582082
617	4.243521217
618	4.240849176
619	4.238693516
620	4.237592348
621	4.236453061
622	4.235316331
623	4.233134353
624	4.23142502
625	4.229108996
626	4.227220536
627	4.223909939
628	4.221865564
629	4.220233814
630	4.218226573
631	4.216210717
632	4.213423471
633	4.212074453
634	4.207800943
635	4.205351455
636	4.202660141
637	4.20081573
638	4.197795224
639	4.194268313
640	4.191667652
641	4.189893192
642	4.188869937
643	4.185407315
644	4.18378522
645	4.181608905
646	4.180203102
647	4.178225252
648	4.175941818
649	4.173894915
650	4.171907913
651	4.169776467
652	4.167040428
653	4.164221253
654	4.162184783
655	4.15998845
656	4.157722671
657	4.155337933
658	4.153784743
659	4.152255
660	4.150299792
661	4.146901816
662	4.145510016
663	4.143110959
664	4.141136826
665	4.139263857
666	4.137289021
667	4.135989477
668	4.133582543
669	4.13139305
670	4.128873869
671	4.12709509
672	4.124851779
673	4.121949654
674	4.121476183
675	4.11858914
676	4.116136688
677	4.114050726
678	4.112279708
679	4.110457462
680	4.108578166
681	4.105463313
682	4.103227039
683	4.101170362
684	4.099635906
685	4.097777673
686	4.095985221
687	4.093936923
688	4.092521562
689	4.090102223
690	4.08737775
691	4.085855923
692	4.082670211
693	4.08022937
694	4.079214697
695	4.076106684
696	4.073831669
697	4.071238702
698	4.06896092
699	4.067586517
700	4.065625567
701	4.063176524
702	4.061813546
703	4.060589615
704	4.060138409
705	4.058108339
706	4.056169387
707	4.054821282
708	4.053007949
709	4.050444018
710	4.047675499
711	4.044140503
712	4.042030793
713	4.041695678
714	4.040234657
715	4.037209851
716	4.036731003
717	4.034442868
718	4.032156037
719	4.030123505
720	4.027657314
721	4.024661301
722	4.021357913
723	4.019671378
724	4.017417093
725	4.015591648
726	4.012499235
727	4.01076199
728	4.009392843
729	4.006881272
730	4.004208123
731	4.003101166
732	4.001537282
733	3.99966572
734	3.995937864
735	3.994867476
736	3.993617595
737	3.991338692
738	3.989259218
739	3.987502326
740	3.985543847
741	3.9843129
742	3.98286564
743	3.981399761
744	3.979461874
745	3.97658994
746	3.974096498
747	3.971762784
748	3.970095101
749	3.969629724
750	3.967698811
751	3.966708254
752	3.965515719
753	3.962345543
754	3.960602761
755	3.958021138
756	3.95661109
757	3.955747836
758	3.95268704
759	3.950959975
760	3.949522053
761	3.948043392
762	3.946346692
763	3.943523863
764	3.941552876
765	3.940466284
766	3.939036258
767	3.937618891
768	3.934779408
769	3.933707163
770	3.93108955
771	3.929375871
772	3.92717049
773	3.925422207
774	3.924147197
775	3.922434751
776	3.919600274
777	3.91645575
778	3.914485882
779	3.91227299
780	3.910297522
781	3.908283933
782	3.906219752
783	3.904140037
784	3.902634311
785	3.901844221
786	3.900028195
787	3.898463976
788	3.895919649
789	3.89399815
790	3.892391925
791	3.890000417
792	3.887222718
793	3.885154752
794	3.884021772
795	3.882648767
796	3.881404307
797	3.879672333
798	3.876659365
799	3.87510094
800	3.874153039
801	3.871545824
802	3.870133235
803	3.86745147
804	3.865642747
805	3.863661051
806	3.862252183
807	3.860281973
808	3.858654829
809	3.857605048
810	3.855523774
811	3.854045269
812	3.852079505
813	3.850487254
814	3.848628044
815	3.847391597
816	3.845742372
817	3.84438084
818	3.842820994
819	3.841534738
820	3.839910594
821	3.83754721
822	3.835558367
823	3.833831415
824	3.831367038
825	3.829339598
826	3.828427863
827	3.82638714
828	3.824831594
829	3.821810141
830	3.820801464
831	3.819308008
832	3.817180608
833	3.815053224
834	3.812509495
835	3.810790138
836	3.808847478
837	3.807086718
838	3.805521188
839	3.803040276
840	3.800488038
841	3.798894281
842	3.796920771
843	3.795756997
844	3.793744
845	3.792414263
846	3.790492048
847	3.787197876
848	3.784743331
849	3.783347801
850	3.781144375
851	3.778312691
852	3.776183941
853	3.774831274
854	3.773048051
855	3.771926114
856	3.770776337
857	3.768940246
858	3.767057916
859	3.765058002
860	3.762999158
861	3.761362004
862	3.759535698
863	3.757885534
864	3.756194352
865	3.754215577
866	3.753204185
867	3.751469822
868	3.74993687
869	3.748738918
870	3.747574371
871	3.745635196
872	3.744237711
873	3.743201374
874	3.741602788
875	3.739844926
876	3.738653735
877	3.737180695
878	3.736477034
879	3.735223884
880	3.732726627
881	3.730466105
882	3.728814456
883	3.727208478
884	3.72526019
885	3.724347007
886	3.723169656
887	3.720745352
888	3.71890061
889	3.718154257
890	3.71654708
891	3.71524879
892	3.713918318
893	3.712156056
894	3.709942343
895	3.707693222
896	3.70628766
897	3.705077471
898	3.703878634
899	3.702348592
900	3.699976846
901	3.698001606
902	3.696105245
903	3.694434063
904	3.693057856
905	3.691622045
906	3.690847496
907	3.688817771
908	3.687197532
909	3.68644581
910	3.685164661
911	3.682873529
912	3.681512464
913	3.679238072
914	3.677863034
915	3.677103487
916	3.674426974
917	3.67235247
918	3.670755651
919	3.6688399
920	3.667320159
921	3.666375405
922	3.665602257
923	3.663590603
924	3.661921477
925	3.660764851
926	3.658924511
927	3.656973043
928	3.654980231
929	3.654377555
930	3.653662562
931	3.652402907
932	3.650308728
933	3.648611183
934	3.647215839
935	3.645947236
936	3.644351328
937	3.641837436
938	3.640739993
939	3.638917792
940	3.638374672
941	3.637210867
942	3.635270438
943	3.633692762
944	3.631884579
945	3.631399636
946	3.630005085
947	3.628955207
948	3.628297785
949	3.626491054
950	3.625117758
951	3.623877558
952	3.621485217
953	3.61931887
954	3.617686989
955	3.61562635
956	3.614126551
957	3.613581025
958	3.612480475
959	3.611594429
960	3.610194371
961	3.608754533
962	3.607466018
963	3.60616588
964	3.605369206
965	3.603141157
966	3.601645437
967	3.600077345
968	3.598296508
969	3.596560076
970	3.594974422
971	3.594275622
972	3.592102313
973	3.590180144
974	3.589266131
975	3.587046289
976	3.585720993
977	3.583973402
978	3.582442554
979	3.58075861
980	3.57950882
981	3.578501808
982	3.57659024
983	3.57472097
984	3.573587315
985	3.571060573
986	3.569728333
987	3.568629787
988	3.567417623
989	3.566096551
990	3.565494865
991	3.564987141
992	3.563578336
993	3.561100167
994	3.559979407
995	3.558183185
996	3.557217566
997	3.553108752
998	3.552025456
999	3.550182352
